market_id,asset,duration_minutes,second_entered,entry_price,direction,second_exited,exit_price,actual_result,pnl,outcome,hour
0x45c9536153c207083a105fbdb65fcc0eea6ecb63ffe393e6968760c67ea07d0e,xrp,15,6,0.45,Up,900,1.0,Up,0.539,win,1
0xea278df5a032130cf7f4214ccd40727f0bbf1d42d253ff0909a457dcaf924c57,sol,5,1,0.45,Down,300,0.0,Up,-0.45,loss,1
0xbf7c7b9da85bb09fa95a9b9f3dac4c894e1cfc0c0dc26d3c4e16bc02bb7c4596,eth,5,29,0.45,Up,300,1.0,Up,0.539,win,1
0xa1d2ed1a8c1f5f5233e72ed5d154a2239fd58319b54167b183ae8484a915a862,xrp,5,5,0.45,Down,300,1.0,Down,0.539,win,1
0x65fef1f866af5a1cb3b287146416f0c57da8d7a982f1c780a551578a03690368,btc,5,12,0.45,Down,300,1.0,Down,0.539,win,1
0xdb83eecbefd3e6134b82aed4ed3541d7737eb7b6d4ef4961f032a49c18331a31,sol,5,20,0.45,Down,300,1.0,Down,0.539,win,1
0xac9df2d2f920599981b1c45a43b1c94191b3f90a2d7f4360a9a7edff70be54b7,sol,5,2,0.45,Down,300,0.0,Up,-0.45,loss,1
0x61add7aa9a818c0ffb0b1fe701acf598dc5fd1e5666c5b0cb79c07c11b1f49d0,xrp,5,5,0.4,Down,300,0.0,Up,-0.4,loss,1
0x354aa29b4131e6ba12cd0ad36d32b9688585d2f9abfa990d70818403ed746899,btc,15,2,0.45,Down,900,0.0,Up,-0.45,loss,1
0x084ee48cace65c244c4a8a05c350a990ffd03977f714dd98559c5a1e9e5fdc3b,btc,5,1,0.45,Down,300,0.0,Up,-0.45,loss,1
0x3d78c34af1c6da9d3df4ffaca60a551eeef2ceec9e90857afc872bfb41a202ef,sol,5,18,0.45,Down,300,0.0,Up,-0.45,loss,1
0x4af3a35fdc7bc375feae60c4cfd4f87bdc773eb1b835bb4e23a6c2e2e5397d82,eth,5,21,0.42,Down,300,0.0,Up,-0.42,loss,1
0x08bd6400dff80b59d55417241b7f0cfac26252856f50ac8a706a401bbcde13be,btc,5,14,0.45,Up,300,0.0,Down,-0.45,loss,1
