market_id,asset,duration_minutes,second_entered,entry_price,direction,second_exited,exit_price,actual_result,pnl,outcome,hour
0x20796301a76705f26816bc8336b106c41b6d751217a898dbd3527aa150d493fa,sol,5,21,0.36,Down,24,0.41,Up,0.049,win,6
0xba2920e9a5f454a006f2bb724c25d8ad3c040250435c3b7b6b4f22efc9610ead,xrp,5,24,0.37,Down,25,0.44,Up,0.0686,win,6
0x25dfa55f362c4cb7659b1f1b402fc4a0fc16774e68f0cfc94affcac2648c01b1,sol,5,35,0.38,Down,38,0.42,Down,0.0392,win,8
0x848a0258901548e97fa2b309c577d90c92c8746ef972548235ae1537c0e21f2d,sol,5,2,0.45,Down,14,0.53,Down,0.0784,win,8
0x22c7042325594d6a6c29ad6124c14067b5d7a5113a8952c9aed14c2ec5eb3674,sol,5,17,0.4,Up,55,0.49,Up,0.0882,win,12
0xc3e163350584e4d799b5f6fb9d4b9fffa7032ef26c784e7a34ec633bb80997bc,eth,5,61,0.35,Down,91,0.44,Up,0.0882,win,12
0xad1dc14ab4e8e14afb4c3fe74f95c11930c8a0a0b6b771724dca0b4d806acbe6,eth,5,42,0.3,Down,46,0.34,Down,0.0392,win,14
0x89d73cb7dcdd777ab697b4723414df22211cdac900502436c3fd902707674b89,eth,5,17,0.35,Up,26,0.42,Down,0.0686,win,18
0x41b6f09fb75cc089b1c6e41499197f43b55a17f0abcceca9cbbd2cf9786496a0,sol,5,25,0.3,Up,52,0.33,Down,0.0294,win,18
0x6cbd89ee96d41137eca63c3256844e5b0d0fe9f3c91f95b305f98249e082bf3f,eth,5,18,0.38,Up,19,0.45,Down,0.0686,win,21
0xccc107c731bc78d7e584b24978ee41cedce80537448dbf6dc419652e1acc0938,sol,5,26,0.31,Up,31,0.36,Down,0.049,win,21
0x2a92c9466c33db78c8d289b4e9614337f7e20c204d0e49064a05d5618935998a,xrp,5,33,0.33,Up,61,0.39,Down,0.0588,win,21
0x800836d1cc33c83b3e3c188f677d1397b6b1f847ac99c8552565a4ee5564b69b,eth,5,13,0.42,Down,45,0.48,Down,0.0588,win,22
0x7bd12962e915d95e820e4a4f549d9aab7045d426b51c8b42f52068ceedc33f44,sol,5,21,0.36,Down,27,0.45,Up,0.0882,win,23
0xdf1606063f921362a7fbaaab68f69b8b0e9d53ab0bc374512589d098c1c3a680,sol,5,53,0.36,Down,59,0.44,Down,0.0784,win,23
0x28a7be5465085bddbccf8cfa0218e8c0f70dd1bd7fc2afd13f3e4f03ed7a0b76,xrp,5,67,0.36,Down,68,0.41,Up,0.049,win,23
0x02235144400a1b1cecb77cb7fc30b8cc04f37ade60e0728040616122b99a1ef8,btc,5,68,0.39,Down,80,0.43,Down,0.0392,win,0
0xdbf66d406b8b1d108076af2441d196c84909676c65e417b1ffb1fd51d7679df3,sol,5,7,0.33,Down,300,0.0,Up,-0.33,loss,2
0x103bb978ed5a05a8b253b0ba1b2550c4c3d131b6f5b80a2639aaa4b26856f4c2,xrp,5,35,0.34,Up,86,0.38,Up,0.0392,win,3
0xf9ab3f5442f8a62d0c630541c55014bd097cf767ac8972b5738abccc9dc77f53,sol,5,43,0.37,Up,75,0.43,Up,0.0588,win,5
0xb74f348861ea65a88ce615e97dd225808adbf32e483c8ed743a63a2f28bb9d8f,xrp,5,44,0.38,Up,74,0.42,Up,0.0392,win,5
0xbe25afb6dc4f294e336d9e5b5b56f59ae18fe3eadebfc5c396b06dae5db5704c,sol,5,20,0.35,Down,52,0.39,Up,0.0392,win,7
0x4c364a7b09eb2875d80f52d6e124b6824b1429748d43c7423c439125fa6f01c4,eth,5,21,0.34,Up,25,0.42,Down,0.0784,win,7
0x4c6d113411d817651edbffd51f4da67f2d00f9cb169c09f626bab8a19dc939f2,sol,5,23,0.32,Down,31,0.36,Up,0.0392,win,12
0x5160b81989cc469a9c1bb2d21405dc54db779c8db246feae59d1380a9525a210,sol,5,17,0.31,Up,48,0.37,Up,0.0588,win,15
