market_id,asset,duration_minutes,second_entered,entry_price,direction,second_exited,exit_price,actual_result,pnl,outcome,hour
0x2195502c81df74a1ba1114458b9115cc04a2bb8d47372a9dfe44b3ba562526d9,eth,5,1,0.45,Down,300,0.0,Up,-0.45,loss,0
0x63ea28131cc7170c59f5bd8a3e38e38d49fa81a361e4f2926f870fb912b9e6ef,xrp,5,2,0.45,Down,300,0.0,Up,-0.45,loss,0
0xc54b84803f582ccaa025c4857a669aedee85277d8444353e0b80f5ec86969487,sol,5,1,0.45,Down,300,0.0,Up,-0.45,loss,0
0xb35a3173dc02a5ed862c4ca2ebe4059d6020787991c47e57eed921164817dc2d,xrp,5,2,0.45,Down,300,0.0,Up,-0.45,loss,0
0x18d0bc3ba198d273dcb49c7efd0aeec344f9b54ad5ff7007d8f843df7930b04e,eth,5,1,0.45,Down,300,0.0,Up,-0.45,loss,0
0x0b8b4277c3c3db89a617aa47c46db4786928c4fc64e1c51087d9c9d6b052611a,btc,5,1,0.42,Down,300,0.0,Up,-0.42,loss,1
0x1affe31d067c92005e73cd67d6b19edbcf195f5086c7846464f7ec1099fb9e9f,eth,5,4,0.45,Down,300,0.0,Up,-0.45,loss,1
0xedf76061043bd61e2c33254a85a5b4542c7e1218a0a60abc44af721729988017,eth,15,13,0.45,Down,900,0.0,Up,-0.45,loss,1
0xcfb951c40e9647c24a99afafeaf4e2cb7e324eba6d0e786efb3612276a67426c,btc,5,11,0.44,Down,300,0.0,Up,-0.44,loss,1
0xac9df2d2f920599981b1c45a43b1c94191b3f90a2d7f4360a9a7edff70be54b7,sol,5,2,0.45,Down,300,0.0,Up,-0.45,loss,1
0x5d274273a088e516da51be80f405b40203e30ff8f267631253c55cd4739b0096,sol,15,16,0.45,Down,900,0.0,Up,-0.45,loss,1
0x69ad7b68d5dbb1997264d31bf2229517abc97338741f2f5675c8aad4ffead791,xrp,5,21,0.37,Down,300,0.0,Up,-0.37,loss,1
0xa31a4a932914b030e2f1e0bca6579a5ac97800f1677b523e836f71df741627ea,xrp,5,12,0.38,Up,300,0.0,Down,-0.38,loss,1
0x6309235d9e14e37d1f1270e1290da9d3b0932d4969d83a2bc14abe4ade5c778c,btc,5,1,0.4,Down,300,1.0,Down,0.588,win,1
0x522e5b42af53f15d33ada1c459a4fc14aa74cb27ec8ed4a20d8895a7c1ce6910,eth,15,9,0.45,Up,900,0.0,Down,-0.45,loss,1
0x84227f0de0e23935e1c25dd86e139a67fccd37be1789f57fa11b9fd3427470e0,eth,5,9,0.44,Up,300,0.0,Down,-0.44,loss,1
